사업자등록번호,사업장명,소재지전체주소,영업상태명,폐업일자,처분일자,위반내용,처분내용상세,처분종류명
0001000038,"한정식원","서울특별시 송파구 오금동 영등포로 60-12",영업중,,2024-10-07,"원산지 표시 위반","영업장 내 위생시설 불량",경고
0001000038,"한정식원","서울특별시 송파구 오금동 영등포로 60-12",영업중,,2025-10-22,"원산지 표시 위반","원산지 미표시",과태료
0001000039,"조씨초밥식당","서울특별시 서대문구 홍제동 화곡로 11-3",영업중,,,,,
0001000040,"홍대고등어구이전문점","서울특별시 도봉구 방학동 종로 168-1",영업중,,,,,
0001000041,"압구정제육볶음왕국","서울특별시 도봉구 방학동 종로 36-1",영업중,,,,,
0001000042,"아버지의 냉면","서울특별시 양천구 신월동 강서로 184-13",영업중,,,,,
0001000043,"참순두부찌개직영점","서울특별시 송파구 풍납동 삼양로 141-20",폐업,2024-08-04,,,,
0001000044,"짜장면명가","서울특별시 용산구 서빙고동 양재천로 54-6",폐업,2022-03-21,2025-09-08,"원산지 표시 위반","조리사 면허 미취득 조리",경고
0001000045,"정씨한식백반세상","서울특별시 중구 을지로 남부순환로 31-7",폐업,2019-02-10,,,,
0001000046,"어머니제육볶음나라","서울특별시 동작구 흑석동 상도로 92-16",영업중,,2025-04-28,"유통기한 경과 제품 사용","식품접촉 기구 위생 불량",시정명령
0001000047,"아버지의짜장면직영점","서울특별시 동작구 대방동 언주로 163-18",영업중,,,,,
0001000048,"해장국마당","서울특별시 동대문구 이문동 이태원로 78-16",영업중,,,,,
0001000049,"강남설렁탕원","서울특별시 구로구 고척동 통일로 93-1 5층",영업중,,2018-04-03,"위생관리기준 위반","식품 보관기준 위반",시정명령
0001000049,"강남설렁탕원","서울특별시 구로구 고척동 통일로 93-1 5층",영업중,,2026-03-22,"위생관리기준 위반","유통기한 경과 식품 보관",시정명령
0001000050,"아버지의 삼치구이","서울특별시 동대문구 장안동 홍대앞길 90-13",영업중,,,,,
0001000051,"사장님부대찌개나라","서울특별시 강서구 발산동 수유로 189-9",영업중,,,,,
0001000052,"이씨우동관","서울특별시 광진구 능동동 한남대로 193-13 1층",영업중,,,,,
0001000053,"부대찌개551번지명가","서울특별시 동작구 대방동 천호대로 141-13",폐업,2019-01-16,2025-09-24,"시설기준 위반","식품첨가물 사용기준 위반",시정명령
0001000054,"즐거운고기구이명가","서울특별시 강서구 염창동 세종대로 151-13",영업중,,,,,
0001000055,"파스타745번지마당","서울특별시 성동구 성수동 당산로 121-8",영업중,,,,,
0001000056,"즐거운순두부찌개마당","서울특별시 종로구 사직동 한강대로 198-8 5층",영업중,,,,,
0001000057,"전통된장찌개식당","서울특별시 양천구 신정동 보라매로 110-19",폐업,2021-06-25,,,,
0001000058,"고향우동명가","서울특별시 도봉구 창동 테헤란로 67-10",폐업,2021-08-13,2018-09-10,"위생관리기준 위반","식품접촉 기구 위생 불량",경고
0001000058,"고향우동명가","서울특별시 도봉구 창동 테헤란로 67-10",폐업,2021-08-13,2025-10-25,"위생관리기준 위반","조리장 청결 불량",과태료
0001000059,"이태원황태해장국나라","서울특별시 동작구 대방동 성내로 8-20",영업중,,,,,
0001000060,"진짜한우본점","서울특별시 중랑구 묵동 관악로 101-14 5층",영업중,,2026-02-01,"시설기준 위반","영업장 내 위생시설 불량",과태료
0001000061,"해장국본점","서울특별시 종로구 청운동 당산로 112-16",영업중,,,,,
0001000062,"회395번지코너","서울특별시 도봉구 쌍문동 서강대로 103-17 2층",폐업,2023-01-09,2020-11-16,"시설기준 위반","냉장·냉동설비 미작동",시정명령
0001000063,"압구정된장찌개본점","서울특별시 관악구 신림동 언주로 146-13",영업중,,,,,
0001000064,"초밥997번지집","서울특별시 중구 청구동 인수봉로 195-11",영업중,,2020-04-22,"위생관리기준 위반","조리장 청결 불량",영업정지1개월
0001000065,"박씨초밥직영점","서울특별시 노원구 월계동 성내로 62-16",영업중,,2022-03-18,"원산지 표시 위반","식품접촉 기구 위생 불량",시정명령
0001000065,"박씨초밥직영점","서울특별시 노원구 월계동 성내로 62-16",영업중,,2023-09-05,"위생관리기준 위반","원산지 미표시",경고
0001000065,"박씨초밥직영점","서울특별시 노원구 월계동 성내로 62-16",영업중,,2025-10-09,"시설기준 위반","위생모 미착용",과태료
0001000066,"비빔밥237번지나라","서울특별시 서초구 내곡동 양천로 143-1",영업중,,,,,
0001000067,"홍대 닭갈비","서울특별시 노원구 상계동 인수봉로 12-20 4층",영업중,,,,,
0001000068,"한씨스테이크원","서울특별시 강북구 인수동 선유로 111-14",영업중,,2021-02-08,"영업자 준수사항 위반","영업장 내 위생시설 불량",영업정지15일
0001000068,"한씨스테이크원","서울특별시 강북구 인수동 선유로 111-14",영업중,,2018-01-13,"시설기준 위반","식품 보관기준 위반",시정명령
0001000068,"한씨스테이크원","서울특별시 강북구 인수동 선유로 111-14",영업중,,2023-01-17,"영업자 준수사항 위반","종업원 건강진단 미실시",시정명령
0001000069,"최씨스테이크나라","서울특별시 서대문구 홍은동 봉천로 166-15 1층",영업중,,,,,
0001000070,"치킨424번지원","서울특별시 성동구 금호동 을지로 186-3 1층",영업중,,2026-05-27,"시설기준 위반","원산지 허위표시",영업정지15일
0001000071,"이태원 족발","서울특별시 성북구 상월곡동 선유로 141-7",영업중,,,,,
0001000072,"낙지볶음890번지마당","서울특별시 강남구 대치동 천호대로 84-18",영업중,,,,,
0001000073,"옛날떡볶이원","서울특별시 노원구 상계동 오목로 79-13",폐업,2020-11-21,,,,
0001000074,"탕수육370번지가","서울특별시 동대문구 용두동 강서로 151-5",영업중,,,,,
0001000075,"아버지의 한식뷔페","서울특별시 관악구 신림동 강남대로 101-4",영업중,,,,,
0001000076,"버거관","서울특별시 동대문구 장안동 영등포로 186-11",폐업,2023-04-09,,,,
0001000077,"명동비빔밥본점","서울특별시 종로구 삼청동 삼양로 94-4 3층",영업중,,,,,
0001000078,"부대찌개854번지관","서울특별시 도봉구 창동 신월로 40-1 3층",영업중,,,,,
0001000079,"최씨아구찜마당","서울특별시 강동구 성내동 을지로 69-8 3층",영업중,,2025-07-13,"시설기준 위반","식품첨가물 사용기준 위반",경고
0001000080,"행복한한식백반원","서울특별시 종로구 삼청동 종로 196-17 2층",폐업,2024-09-17,2019-02-03,"시설기준 위반","식품 보관기준 위반",과태료
0001000080,"행복한한식백반원","서울특별시 종로구 삼청동 종로 196-17 2층",폐업,2024-09-17,2019-01-16,"위생관리기준 위반","조리사 면허 미취득 조리",영업정지15일
0001000080,"행복한한식백반원","서울특별시 종로구 삼청동 종로 196-17 2층",폐업,2024-09-17,2024-02-06,"시설기준 위반","식품첨가물 사용기준 위반",시정명령
0001000081,"초밥847번지마당","서울특별시 광진구 중곡동 동작대로 63-2",영업중,,,,,
0001000082,"고등어구이117번지식당","서울특별시 노원구 하계동 화곡로 132-5",영업중,,,,,
0001000083,"삼겹살987번지관","서울특별시 강서구 마곡동 삼양로 47-5",영업중,,,,,
0001000084,"제육볶음621번지식당","서울특별시 관악구 남현동 공항대로 169-10 2층",영업중,,,,,
0001000085,"사장님 황태해장국","서울특별시 중랑구 상봉동 보라매로 37-10 5층",영업중,,,,,
0001000086,"윤씨보쌈식당","서울특별시 강서구 발산동 강남대로 107-20 2층",영업중,,2021-12-20,"영업자 준수사항 위반","원산지 미표시",시정명령
0001000087,"정씨닭갈비전문점","서울특별시 성북구 종암동 노량진로 180-19",영업중,,,,,
0001000088,"한식백반관","서울특별시 중구 황학동 양재천로 46-10",영업중,,,,,
0001000089,"맛있는 된장찌개","서울특별시 강북구 우이동 삼양로 43-15",영업중,,2026-04-11,"원산지 표시 위반","원산지 미표시",시정명령
0001000089,"맛있는 된장찌개","서울특별시 강북구 우이동 삼양로 43-15",영업중,,2021-01-16,"영업자 준수사항 위반","유통기한 경과 식품 보관",영업정지3개월
0001000090,"해장국324번지가","서울특별시 동작구 노량진동 상도로 162-13 3층",영업중,,,,,
0001000091,"최씨순대식당","서울특별시 도봉구 쌍문동 시청앞로 20-8",영업중,,,,,
0001000092,"오삼불고기세상","서울특별시 송파구 방이동 서초대로 141-6",영업중,,2022-08-16,"원산지 표시 위반","위생모 미착용",경고
0001000092,"오삼불고기세상","서울특별시 송파구 방이동 서초대로 141-6",영업중,,2025-08-29,"위생관리기준 위반","냉장·냉동설비 미작동",시정명령
0001000093,"피자875번지집","서울특별시 노원구 상계동 용산로 102-4",영업중,,2019-03-23,"식품표시 위반","식품접촉 기구 위생 불량",영업정지15일
0001000093,"피자875번지집","서울특별시 노원구 상계동 용산로 102-4",영업중,,2026-05-06,"영업자 준수사항 위반","조리장 청결 불량",과태료
0001000094,"임씨부대찌개나라","서울특별시 강서구 등촌동 세종대로 1-1",영업중,,2024-10-07,"위생관리기준 위반","조리사 면허 미취득 조리",영업정지15일
0001000094,"임씨부대찌개나라","서울특별시 강서구 등촌동 세종대로 1-1",영업중,,2026-04-23,"시설기준 위반","식품 보관기준 위반",과태료
0001000094,"임씨부대찌개나라","서울특별시 강서구 등촌동 세종대로 1-1",영업중,,2024-01-12,"영업자 준수사항 위반","위생모 미착용",영업정지1개월
0001000095,"홍대 짜장면","서울특별시 강남구 삼성동 성내로 129-8 1층",영업중,,,,,
0001000096,"최씨한정식전문점","서울특별시 강동구 길동 성내로 151-10",영업중,,2025-08-12,"시설기준 위반","유통기한 경과 식품 보관",시정명령
0001000097,"박씨해장국가","서울특별시 동작구 흑석동 동작대로 57-3 4층",영업중,,2025-08-01,"위생관리기준 위반","식품 보관기준 위반",과태료
0001000097,"박씨해장국가","서울특별시 동작구 흑석동 동작대로 57-3 4층",영업중,,2023-03-25,"영업자 준수사항 위반","위생모 미착용",시정명령
0001000097,"박씨해장국가","서울특별시 동작구 흑석동 동작대로 57-3 4층",영업중,,2018-02-24,"위생관리기준 위반","위생모 미착용",경고
0001000097,"박씨해장국가","서울특별시 동작구 흑석동 동작대로 57-3 4층",영업중,,2025-10-28,"시설기준 위반","조리사 면허 미취득 조리",과태료
0001000098,"행복한순대명가","서울특별시 관악구 서원동 남대문로 126-6",영업중,,,,,
0001000099,"할머니 튀김","서울특별시 강서구 등촌동 홍대앞길 141-10",영업중,,,,,
0001000100,"압구정순대국밥전문점","서울특별시 금천구 가산동 한강대로 97-10",영업중,,,,,
0001000101,"행복한 초밥","서울특별시 서초구 내곡동 서강대로 50-7",영업중,,,,,
0001000102,"닭갈비504번지식당","서울특별시 마포구 망원동 을지로 28-16",영업중,,2026-03-17,"위생관리기준 위반","원산지 미표시",시정명령
0001000103,"전통한식912번지집","서울특별시 강서구 발산동 당산로 153-7",영업중,,,,,
0001000104,"된장찌개가","서울특별시 광진구 중곡동 언주로 102-8 4층",영업중,,,,,
0001000105,"곱창698번지관","서울특별시 중랑구 중화동 공항대로 124-15",영업중,,2024-09-05,"원산지 표시 위반","원산지 미표시",시정명령
0001000106,"압구정라멘원","서울특별시 중구 황학동 새창로 118-3 4층",폐업,2020-12-16,,,,
0001000107,"제육볶음명가","서울특별시 강남구 압구정동 삼양로 140-2",영업중,,2024-05-14,"시설기준 위반","원산지 허위표시",과태료
0001000107,"제육볶음명가","서울특별시 강남구 압구정동 삼양로 140-2",영업중,,2018-04-28,"위생관리기준 위반","종업원 건강진단 미실시",과태료
0001000107,"제육볶음명가","서울특별시 강남구 압구정동 삼양로 140-2",영업중,,2025-09-02,"유통기한 경과 제품 사용","냉장·냉동설비 미작동",시정명령
0001000108,"전통낙지볶음본점","서울특별시 종로구 창신동 강남대로 99-10",영업중,,,,,
0001000109,"해물탕381번지왕국","서울특별시 강동구 길동 강남대로 186-2 5층",영업중,,,,,
0001000110,"박씨고기구이명가","서울특별시 강동구 길동 당산로 132-19",영업중,,,,,
0001000111,"갈치조림마당","서울특별시 성동구 행당동 경의로 59-5",영업중,,,,,
0001000112,"한식뷔페360번지집","서울특별시 종로구 인의동 방화대로 26-18",폐업,2024-06-20,2026-04-17,"시설기준 위반","영업장 내 위생시설 불량",과태료
0001000112,"한식뷔페360번지집","서울특별시 종로구 인의동 방화대로 26-18",폐업,2024-06-20,2019-06-26,"원산지 표시 위반","위생모 미착용",영업정지15일
0001000113,"신씨한식본점","서울특별시 중구 청구동 동작대로 170-20",영업중,,2025-06-05,"원산지 표시 위반","원산지 미표시",경고
0001000113,"신씨한식본점","서울특별시 중구 청구동 동작대로 170-20",영업중,,2023-12-08,"시설기준 위반","식품접촉 기구 위생 불량",시정명령
0001000114,"신씨보쌈세상","서울특별시 마포구 망원동 신림로 140-19",영업중,,,,,
0001000115,"갈비탕413번지관","서울특별시 구로구 오류동 남부순환로 185-9",영업중,,2018-03-17,"영업자 준수사항 위반","위생모 미착용",경고
0001000115,"갈비탕413번지관","서울특별시 구로구 오류동 남부순환로 185-9",영업중,,2023-11-05,"위생관리기준 위반","조리사 면허 미취득 조리",과태료
0001000116,"보쌈605번지코너","서울특별시 서대문구 홍제동 세종대로 169-6",영업중,,,,,
0001000117,"피자708번지관","서울특별시 중랑구 상봉동 남부순환로 87-16 2층",영업중,,,,,
0001000118,"순두부찌개411번지원","서울특별시 강북구 미아동 남대문로 125-10",영업중,,,,,
0001000119,"순대식당","서울특별시 은평구 진관동 용산로 137-7",영업중,,,,,
0001000120,"해물탕원","서울특별시 관악구 남현동 경인로 6-11 2층",영업중,,,,,
0001000121,"임씨족발마당","서울특별시 구로구 구로동 마포대로 178-5",영업중,,,,,
0001000122,"홍대족발세상","서울특별시 광진구 화양동 양재천로 191-19",영업중,,,,,
0001000123,"임씨초밥왕국","서울특별시 도봉구 쌍문동 남부순환로 39-7",영업중,,,,,
0001000124,"황태해장국왕국","서울특별시 마포구 망원동 경의로 98-1",영업중,,,,,
0001000125,"압구정회원","서울특별시 은평구 갈현동 한강대로 177-8 1층",영업중,,,,,
0001000126,"신선한한우코너","서울특별시 중구 을지로 경인로 107-15",영업중,,,,,
0001000127,"김씨설렁탕본점","서울특별시 강남구 논현동 언주로 156-20",영업중,,,,,
0001000128,"황금 냉면","서울특별시 동대문구 신설동 경인로 179-2",영업중,,,,,
0001000129,"칼국수원","서울특별시 강북구 인수동 삼양로 66-11",영업중,,,,,
0001000130,"강남짬뽕원","서울특별시 송파구 마천동 봉천로 98-13",영업중,,,,,
0001000131,"맛있는한식백반원","서울특별시 강남구 압구정동 동작대로 152-5 5층",영업중,,2019-02-13,"원산지 표시 위반","원산지 미표시",과태료
0001000132,"고향 라멘","서울특별시 종로구 청운동 서초대로 184-15",영업중,,,,,
0001000133,"강남고기구이집","서울특별시 관악구 서원동 언주로 178-10",영업중,,,,,
0001000134,"이씨우동왕국","서울특별시 관악구 봉천동 마포대로 110-8",영업중,,2021-09-06,"원산지 표시 위반","유통기한 경과 식품 보관",시정명령
0001000135,"정씨황태해장국왕국","서울특별시 용산구 후암동 이태원로 115-10",영업중,,2021-01-16,"유통기한 경과 제품 사용","원산지 허위표시",과태료
0001000136,"우동211번지가","서울특별시 광진구 구의동 화곡로 111-16",영업중,,,,,
0001000137,"신씨버거직영점","서울특별시 도봉구 쌍문동 세종대로 92-12",영업중,,2025-09-18,"영업자 준수사항 위반","영업장 내 위생시설 불량",시정명령
0001000138,"고기구이왕국","서울특별시 동작구 흑석동 홍대앞길 98-15",영업중,,,,,
0001000139,"오삼불고기원","서울특별시 성북구 정릉동 화곡로 92-7",폐업,2022-04-11,,,,
0001000140,"강남 라멘","서울특별시 동작구 노량진동 신월로 2-20",영업중,,2023-11-17,"위생관리기준 위반","조리장 청결 불량",과태료
0001000140,"강남 라멘","서울특별시 동작구 노량진동 신월로 2-20",영업중,,2025-08-16,"원산지 표시 위반","조리장 청결 불량",시정명령
0001000140,"강남 라멘","서울특별시 동작구 노량진동 신월로 2-20",영업중,,2018-12-03,"시설기준 위반","식품 보관기준 위반",시정명령
0001000141,"김씨고등어구이가","서울특별시 관악구 서원동 성내로 131-6 4층",영업중,,,,,
0001000142,"어머니김치찌개세상","서울특별시 성동구 옥수동 한강대로 2-13",폐업,2020-02-04,,,,
0001000143,"임씨보쌈원","서울특별시 종로구 창신동 상도로 35-15",영업중,,,,,
0001000144,"강씨스테이크마당","서울특별시 성북구 종암동 올림픽로 34-7",영업중,,,,,
0001000145,"윤씨버거관","서울특별시 성동구 왕십리동 양천로 88-8",영업중,,2018-11-11,"시설기준 위반","식품접촉 기구 위생 불량",과태료
0001000146,"최씨족발명가","서울특별시 성북구 하월곡동 동작대로 43-7",영업중,,2025-05-07,"위생관리기준 위반","냉장·냉동설비 미작동",영업정지3개월
0001000147,"강씨순대국밥나라","서울특별시 동작구 상도동 서강대로 97-14",영업중,,2025-09-29,"영업자 준수사항 위반","음식물 쓰레기 처리 위반",폐쇄명령
0001000147,"강씨순대국밥나라","서울특별시 동작구 상도동 서강대로 97-14",영업중,,2025-11-22,"위생관리기준 위반","식품접촉 기구 위생 불량",영업정지1개월
0001000148,"라멘63번지원","서울특별시 도봉구 쌍문동 새창로 156-8",영업중,,,,,
0001000149,"어머니국밥가","서울특별시 구로구 오류동 우이천로 4-2 5층",영업중,,,,,
0001000150,"회858번지전문점","서울특별시 강서구 마곡동 이태원로 23-2",영업중,,,,,
0001000151,"오삼불고기전문점","서울특별시 구로구 신도림동 남대문로 51-14",영업중,,2019-06-07,"시설기준 위반","음식물 쓰레기 처리 위반",시정명령
0001000152,"강씨비빔밥왕국","서울특별시 성동구 왕십리동 남대문로 132-20 2층",영업중,,2021-04-16,"시설기준 위반","식품 보관기준 위반",과태료
0001000152,"강씨비빔밥왕국","서울특별시 성동구 왕십리동 남대문로 132-20 2층",영업중,,2018-12-09,"원산지 표시 위반","냉장·냉동설비 미작동",과태료
0001000153,"오삼불고기왕국","서울특별시 서초구 양재동 남부순환로 32-18",영업중,,,,,
0001000154,"강씨버거본점","서울특별시 송파구 풍납동 보라매로 123-19 4층",영업중,,2020-11-22,"위생관리기준 위반","식품 보관기준 위반",경고
0001000154,"강씨버거본점","서울특별시 송파구 풍납동 보라매로 123-19 4층",영업중,,2020-02-18,"식품표시 위반","식품접촉 기구 위생 불량",영업정지3개월
0001000154,"강씨버거본점","서울특별시 송파구 풍납동 보라매로 123-19 4층",영업중,,2026-03-14,"위생관리기준 위반","식품첨가물 사용기준 위반",영업정지15일
0001000155,"즐거운삼치구이가","서울특별시 성북구 하월곡동 노량진로 122-14",영업중,,,,,
0001000156,"강씨갈비탕원","서울특별시 강남구 압구정동 한강대로 89-14 5층",영업중,,,,,
0001000157,"청담 오삼불고기","서울특별시 동대문구 신설동 마포대로 158-13",영업중,,,,,
0001000158,"진짜 떡볶이","서울특별시 동대문구 장안동 을지로 44-13 5층",영업중,,,,,
0001000159,"맛있는피자집","서울특별시 도봉구 창동 테헤란로 72-13",폐업,2023-06-17,2021-01-16,"원산지 표시 위반","식품첨가물 사용기준 위반",시정명령
0001000160,"맛있는 냉면","서울특별시 중랑구 상봉동 서초대로 46-13",영업중,,,,,
0001000161,"신씨고등어구이집","서울특별시 노원구 하계동 수유로 111-9",영업중,,,,,
0001000162,"윤씨고등어구이전문점","서울특별시 관악구 남현동 동작대로 157-5 4층",영업중,,2021-09-24,"위생관리기준 위반","종업원 건강진단 미실시",경고
0001000162,"윤씨고등어구이전문점","서울특별시 관악구 남현동 동작대로 157-5 4층",영업중,,2019-11-07,"영업자 준수사항 위반","식품첨가물 사용기준 위반",시정명령
0001000162,"윤씨고등어구이전문점","서울특별시 관악구 남현동 동작대로 157-5 4층",영업중,,2018-04-23,"시설기준 위반","식품접촉 기구 위생 불량",시정명령
0001000163,"전통한식전문점","서울특별시 서대문구 홍은동 시청앞로 6-16",영업중,,,,,
0001000164,"황태해장국931번지명가","서울특별시 관악구 신림동 천호대로 70-14",영업중,,,,,
0001000165,"한씨갈치조림코너","서울특별시 관악구 인헌동 노량진로 91-13",영업중,,,,,
0001000166,"한식뷔페마당","서울특별시 중랑구 면목동 서강대로 116-12",영업중,,,,,
0001000167,"오씨설렁탕세상","서울특별시 성동구 금호동 당산로 180-10",영업중,,,,,
0001000168,"황금 한식백반","서울특별시 노원구 하계동 올림픽로 45-19",영업중,,,,,
0001000169,"닭갈비131번지나라","서울특별시 종로구 충신동 마포대로 65-12 1층",영업중,,,,,
0001000170,"치킨958번지원","서울특별시 성동구 마장동 양천로 163-19 4층",영업중,,,,,
0001000171,"고기구이본점","서울특별시 중랑구 상봉동 인수봉로 95-4",영업중,,2023-08-05,"위생관리기준 위반","식품접촉 기구 위생 불량",시정명령
0001000171,"고기구이본점","서울특별시 중랑구 상봉동 인수봉로 95-4",영업중,,2026-01-11,"원산지 표시 위반","종업원 건강진단 미실시",과태료
0001000172,"신선한갈비탕코너","서울특별시 도봉구 쌍문동 강남대로 3-14",영업중,,,,,
0001000173,"윤씨칼국수나라","서울특별시 동대문구 이문동 을지로 110-8",영업중,,,,,
0001000174,"튀김747번지세상","서울특별시 영등포구 대림동 관악로 94-16",영업중,,2022-07-19,"시설기준 위반","유통기한 경과 식품 보관",과태료
0001000175,"황금 버거","서울특별시 강북구 수유동 강남대로 132-13 3층",영업중,,2025-12-07,"시설기준 위반","식품접촉 기구 위생 불량",과태료
0001000176,"강남전통한식명가","서울특별시 강서구 화곡동 올림픽로 93-15",영업중,,,,,
0001000177,"행복한 고등어구이","서울특별시 용산구 이태원동 신림로 133-16 3층",영업중,,,,,
0001000178,"즐거운 고등어구이","서울특별시 마포구 연남동 서강대로 98-5",영업중,,,,,
0001000179,"고기구이223번지원","서울특별시 강남구 삼성동 서강대로 23-4",영업중,,,,,
0001000180,"맛있는 튀김","서울특별시 용산구 청파동 공항대로 127-4",폐업,2022-02-16,2020-11-15,"위생관리기준 위반","식품첨가물 사용기준 위반",영업정지1개월
0001000181,"서씨고기구이관","서울특별시 서대문구 남가좌동 언주로 161-20",영업중,,2019-09-06,"위생관리기준 위반","원산지 허위표시",과태료
0001000182,"사장님 해물탕","서울특별시 광진구 능동동 신림로 190-11",영업중,,,,,
0001000183,"이씨한정식마당","서울특별시 영등포구 당산동 새창로 195-12",영업중,,2026-01-16,"위생관리기준 위반","위생모 미착용",시정명령
0001000184,"제육볶음나라","서울특별시 강서구 발산동 보라매로 144-6 4층",영업중,,2018-03-22,"영업자 준수사항 위반","식품 보관기준 위반",영업정지1개월
0001000185,"신선한한정식코너","서울특별시 종로구 충신동 통일로 174-18",영업중,,,,,
0001000186,"고향 김치찌개","서울특별시 송파구 거여동 강남대로 138-8 2층",영업중,,,,,
0001000187,"보쌈553번지나라","서울특별시 마포구 아현동 양천로 186-1",영업중,,2026-06-09,"위생관리기준 위반","냉장·냉동설비 미작동",경고
